Season,PlayerName,MatchesPlayed,Successful raids
Season 3,Virender Wazir Singh,4,4
Season 3,Preetam Chhillar,11,3
Season 3,Dharmaraj Cheralathan,14,3
Season 3,Mahipal Narwal,4,3
Season 3,Gnanasekaran M,8,3
Season 3,Anil Kumar,11,2
Season 3,Suresu Kumar,3,2
Season 3,Vinoth Paulyas,3,2
Season 3,Gurvinder Singh,5,2
Season 3,Nilesh Shinde,16,2
Season 3,Simon Kibura,2,2
Season 3,Seong Ryeol Kim,8,2
Season 3,Samarjeet Singh,5,2
Season 3,Tae Deok Eom,7,1
Season 3,Gangadhari Mallesh,10,1
Season 3,Pravin Niwale,2,1
Season 3,Isac Antony,2,1
Season 3,K. Prapanjan,4,1
Season 3,C. Arun,11,1
Season 3,Sunil,15,1
Season 3,Jay Bahadur Bohara,1,1
Season 3,Parvesh Attri,1,1
Season 3,Nirbhay Narwal,2,1
Season 3,PO Surjeet Singh,12,1
Season 2,Kashiling Adake,14,87
Season 2,Rahul Chaudhari,14,75
Season 2,Anup Kumar,14,61
Season 2,Manjeet Chhillar,16,60
Season 2,Ajay Thakur,13,56
Season 2,Deepak Niwas Hooda,15,54
Season 2,Rajesh Narwal,14,54
Season 2,Jasvir Singh,13,52
Season 2,Wazir Singh,11,48
Season 2,Deepak Narwal,16,45
Season 2,Sukesh Hegde,13,44
Season 2,Prashanth Kumar Rai,15,42
Season 2,Sonu Narwal,11,42
Season 2,Rohit Kumar Choudary,14,41
Season 2,Ravi Dalal,11,38
Season 2,Mahendra Ganesh Rajput,12,37
Season 2,Rishank Devadiga,13,36
Season 2,Sandeep Narwal,16,36
Season 2,Shabeer Bappu,10,36
Season 2,Jang Kun Lee,14,36
Season 2,Gurvinder Singh,16,34
Season 2,Pravin Niwale,8,30
Season 2,Rajesh Mondal,15,27
Season 2,Sunil Jaipal,10,24
Season 2,Kuldeep Singh,14,20
Season 2,Pradeep Kumar,6,19
Season 2,Bhupender Singh,11,18
Season 2,Meraj Sheykh,15,18
Season 2,Dinesh Kumar,8,17
Season 2,Tushar Patil,6,15
Season 2,Dharmaraj Cheralathan,15,15
Season 2,Rakesh Narwal,11,14
Season 2,Mahipal Narwal,9,13
Season 2,Jitesh Joshi,5,12
Season 2,Rakesh Kumar,4,12
Season 2,Yogesh Hooda,4,11
Season 2,Rohit Baliyan,5,11
Season 2,Ran Singh,14,10
Season 2,Pawan Kumar Kadian,10,9
Season 2,Sanjay Kumar,7,9
Season 2,Amit Om Prakash Rathi,5,9
Season 2,Sachin Vittala,4,9
Season 2,Isac Antony,7,9
Season 2,Shrikant Tewthia,9,9
Season 2,Selvamani K,10,9
Season 2,Vineet Sharma,8,8
Season 2,Tae Deok Eom,8,8
Season 2,Sandeep Kandola,16,7
Season 2,Kedar Lal,9,7
Season 2,Ashish Chhokar,6,7
Season 2,Pardeep Narwal,6,7
Season 2,Ravi V.,2,5
Season 2,Surender Singh,2,4
Season 2,Amit Hooda,12,4
Season 2,Dadaso Balaso Awad,7,4
Season 2,Vijay Malik,7,4
Season 2,Amit Kumar Tomar,9,3
Season 2,Mahesh Goud,1,3
Season 2,Rupesh Tomar,6,3
Season 2,K. Prapanjan,4,3
Season 2,Deepak Kumar Dahiya,2,3
Season 2,Ravinder Pahal,14,3
Season 2,Preetam Chhillar,12,2
Season 2,Ashish Kumar,5,2
Season 2,Sandeep Tomar,3,2
Season 2,Surender Nada,14,2
Season 2,Manoj Kumar,14,2
Season 2,Kalimuthu Balamahendran,6,2
Season 2,Gangadhari Mallesh,10,2
Season 2,Simon Kibura,3,1
Season 2,Jeeva Kumar,13,1
Season 2,Nilesh Shinde,12,1
Season 2,Rohit Rana,10,1
Season 2,Somvir Shekhar,14,1
Season 2,Inderpal Bishnoi,2,1
Season 2,Sunil,9,1
Season 2,Ravit Kumar,3,1
Season 2,Hyunil Park,2,1
Season 2,Suresu Kumar,1,1
Season 2,Parveen M. Jangra,6,1
Season 2,Kazuhiro Takano,2,1
Season 2,Mohammad Maghshoudulu,4,1
Season 2,Fazel Atrachali,5,1
Season 1,Anup Kumar,16,123
Season 1,Rahul Chaudhari,14,122
Season 1,Maninder Singh,16,103
Season 1,Surjeet Narwal,14,98
Season 1,Ajay Thakur,15,96
Season 1,Kashiling Adake,14,92
Season 1,Ravi Dalal,16,87
Season 1,Wazir Singh,12,85
Season 1,Jasvir Singh,15,83
Season 1,Nitin Madane,12,78
Season 1,Rakesh Kumar,12,76
Season 1,Deepak Niwas Hooda,14,72
Season 1,Sandeep Narwal,16,68
Season 1,Sukesh Hegde,14,60
Season 1,Rajesh Narwal,16,59
Season 1,Manjeet Chhillar,16,53
Season 1,Shabeer Bappu,10,51
Season 1,Rishank Devadiga,16,45
Season 1,Mahesh Goud,13,40
Season 1,Jang Kun Lee,11,39
Season 1,Shrikant Tewthia,14,37
Season 1,Pawan Kumar Kadian,10,32
Season 1,Rajesh Mondal,15,32
Season 1,Jitesh Joshi,14,31
Season 1,Sunil Jaipal,13,22
Season 1,Mangesh Bhagat,8,19
Season 1,Mahendra Ganesh Rajput,8,17
Season 1,Mahipal Narwal,5,16
Season 1,Deepak Kumar Dahiya,7,15
Season 1,Manoj Kumar,14,14
Season 1,Pravin Niwale,7,12
Season 1,Waleed Al Hasani,6,10
Season 1,Gangadhari Mallesh,10,10
Season 1,Parmod Narwal,16,10
Season 1,Surender Nada,15,8
Season 1,Dharmaraj Cheralathan,16,8
Season 1,Kalimuthu Balamahendran,14,8
Season 1,Jasmer Singh Gulia,14,7
Season 1,Balbir Singh,8,7
Season 1,Shyam Kumar Sah,13,7
Season 1,Suresu Kumar,3,6
Season 1,Gurvinder Singh,7,6
Season 1,Nilesh Shinde,14,5
Season 1,Simon Kibura,4,5
Season 1,Prashanth Kumar Rai,7,5
Season 1,Ran Singh,10,5
Season 1,Sachin Khambe,14,5
Season 1,D. Gopu,15,4
Season 1,Chandran Ranjit,6,4
Season 1,Ehsan Zamani Fard,8,3
Season 1,Wajid Ali,4,3
Season 1,Dovlet Boshimov,2,3
Season 1,Preetam Chhillar,11,3
Season 1,Ram Kumar Sah,9,3
Season 1,Md. Aruduzzaman Munshi,5,2
Season 1,Girish Maruti Ernak,12,2
Season 1,Mandeep Kumar,7,2
Season 1,Punit Kumar Teotia,4,2
Season 1,Sinotharan Kanesharajah,1,2
Season 1,Tae Deok Eom,9,1
Season 1,Takamitsu Kono,1,1
Season 1,Dong Ju Hong,2,1
Season 1,Amit Singh Chhillar,14,1
Season 1,Gurpreet Singh,16,1
Season 1,Mohit Chhillar,16,1
Season 1,Rakesh Singh Kumar,9,1
Season 1,Gurchet Singh,4,1
Season 1,Prashant Chavan,15,1
Season 1,Sunil Hanumanthappa,5,1
Season 1,Rupesh Tomar,5,1
